timestamp (YYYY.MM.DD-HH.MM.SS),event,time (seconds),time (formatted),file name,file path
2014.10.28-20.03.03,load,0,00:00:00,,
2014.11.10-18.11.48,load,0,00:00:00,,
2014.11.14-16.32.13,load,0,00:00:00,,
2014.11.21-15.41.33,load,0,00:00:00,,
2014.11.21-16.22.07,save,2433,00:40:33,tree_01.blend,C:\Users\oem\Dysk Google\Art\Tree\tree_01.blend
2014.11.21-16.30.08,load,0,00:00:00,,
2014.11.21-17.31.45,save,3697,01:01:37,wnetrze_01.blend,C:\Users\oem\Dysk Google\Art\Warsztaty Komputerowe 3d\2014-2015\wnetrze_01.blend
2014.11.25-10.41.27,load,0,00:00:00,,
2014.11.28-16.19.31,load,0,00:00:00,,
2014.11.28-16.19.31,load,0,00:00:00,Stół blender 3d .blend,C:\Users\oem\Desktop\Stół blender 3d .blend
2014.11.28-16.20.26,load,55,00:00:55,Stół blender 3d .blend,C:\Users\oem\Desktop\Stół blender 3d .blend
2014.11.28-16.32.11,load,0,00:00:00,,
2014.11.30-19.18.40,save,9988,02:46:28,wnetrze_01.blend,C:\Users\oem\Desktop\wnetrze_01.blend
2014.12.05-16.39.41,load,0,00:00:00,,
2014.12.05-16.44.06,load,265,00:04:25,,
2014.12.05-17.03.07,load,0,00:00:00,,
2014.12.09-10.41.13,load,0,00:00:00,,
2014.12.09-10.45.31,save,257,00:04:17,animacja.blend,C:\Users\oem\Desktop\animacja.blend
