timestamp (YYYY.MM.DD-HH.MM.SS),event,time (seconds),time (formatted),file name,file path
2014.08.04-13.56.06,save,1927,00:32:07,ebee3d_33.blend,C:\Art\Ebee3d\ebee3d_33.blend
2014.08.04-14.12.22,save,975,00:16:15,ebee3d_33.blend,C:\Art\Ebee3d\ebee3d_33.blend
2014.08.04-14.14.39,save,136,00:02:16,ebee3d_33.blend,C:\Art\Ebee3d\ebee3d_33.blend
2014.08.04-14.16.04,save,85,00:01:25,ebee3d_33.blend,C:\Art\Ebee3d\ebee3d_33.blend
2014.08.04-14.17.34,load,0,00:00:00,,
2014.08.04-14.17.36,load,2,00:00:02,ebee3d_33.blend,C:\Art\Ebee3d\ebee3d_33.blend
2014.08.04-14.21.14,save,217,00:03:37,ebee3d_33.blend,C:\Art\Ebee3d\ebee3d_33.blend
2014.08.04-14.35.02,save,828,00:13:48,ebee3d_33.blend,C:\Art\Ebee3d\ebee3d_33.blend
2014.08.04-14.36.56,load,0,00:00:00,,
2014.08.04-14.36.58,load,2,00:00:02,ebee3d_33.blend,C:\Art\Ebee3d\ebee3d_33.blend
2014.08.04-14.43.09,save,370,00:06:10,bake_example_01.blend,C:\Users\Ja\Desktop\bake_example_01.blend
2014.08.04-14.43.45,load,0,00:00:00,,
2014.08.04-14.43.45,load,0,00:00:00,bake_example_01.blend,C:\Users\Ja\Desktop\bake_example_01.blend
2014.08.04-14.44.11,load,25,00:00:25,ebee3d_33.blend,C:\Art\Ebee3d\ebee3d_33.blend
2014.08.04-14.45.20,load,69,00:01:09,ebee3d_33.blend,C:\Art\Ebee3d\ebee3d_33.blend
2014.08.04-15.01.33,save,972,00:16:12,ebee3d_34.blend,C:\Art\Ebee3d\ebee3d_34.blend
2014.08.04-15.06.25,save,291,00:04:51,ebee3d_34.blend,C:\Art\Ebee3d\ebee3d_34.blend
2014.08.04-15.09.11,save,166,00:02:46,ebee3d_34.blend,C:\Art\Ebee3d\ebee3d_34.blend
2014.08.04-15.10.46,load,94,00:01:34,ebee3d_33.blend,C:\Art\Ebee3d\ebee3d_33.blend
2014.08.04-15.13.10,save,144,00:02:24,ebee3d_33.blend,C:\Art\Ebee3d\ebee3d_33.blend
2014.08.04-15.13.16,save,6,00:00:06,ebee3d_34.blend,C:\Art\Ebee3d\ebee3d_34.blend
2014.08.04-15.14.41,save,85,00:01:25,ebee3d_34.blend,C:\Art\Ebee3d\ebee3d_34.blend
2014.08.04-16.09.42,load,0,00:00:00,,
2014.08.04-16.10.19,load,37,00:00:37,ebee3d_34.blend,C:\Art\Ebee3d\ebee3d_34.blend
2014.08.04-20.02.56,save,13957,03:52:37,ebee3d_35.blend,C:\Art\Ebee3d\ebee3d_35.blend
2014.08.05-12.08.51,load,0,00:00:00,,
2014.08.05-12.11.32,load,160,00:02:40,ebee3d_35.blend,C:\Art\Ebee3d\ebee3d_35.blend
2014.08.05-13.57.15,load,6342,01:45:42,ebee3d_34.blend,C:\Art\Ebee3d\ebee3d_34.blend
2014.08.05-13.57.42,load,27,00:00:27,ebee3d_35.blend,C:\Art\Ebee3d\ebee3d_35.blend
2014.08.05-13.58.41,save,58,00:00:58,ebee3d_35.blend,C:\Art\Ebee3d\ebee3d_35.blend
2014.08.05-14.05.08,save,386,00:06:26,ebee3d_35.blend,C:\Art\Ebee3d\ebee3d_35.blend
2014.08.05-14.08.20,save,192,00:03:12,ebee3d_36.blend,C:\Art\Ebee3d\ebee3d_36.blend
2014.08.05-14.08.46,load,0,00:00:00,,
2014.08.05-14.08.52,load,6,00:00:06,ebee3d_36.blend,C:\Art\Ebee3d\ebee3d_36.blend
2014.08.05-14.15.06,save,374,00:06:14,ebee3d_36.blend,C:\Art\Ebee3d\ebee3d_36.blend
2014.08.05-14.15.09,load,2,00:00:02,,
2014.08.05-14.47.42,save,1952,00:32:32,baker_01.blend,C:\Art\Ebee3d\baker_01.blend
2014.08.05-14.47.48,load,5,00:00:05,ebee3d_36.blend,C:\Art\Ebee3d\ebee3d_36.blend
2014.08.05-14.51.35,save,227,00:03:47,ebee3d_36.blend,C:\Art\Ebee3d\ebee3d_36.blend
2014.08.05-15.54.14,save,3758,01:02:38,ebee3d_36.blend,C:\Art\Ebee3d\ebee3d_36.blend
2014.08.05-16.13.54,save,1180,00:19:40,ebee3d_36.blend,C:\Art\Ebee3d\ebee3d_36.blend
2014.08.05-17.04.19,save,3024,00:50:24,ebee3d_37.blend,C:\Art\Ebee3d\ebee3d_37.blend
2014.08.05-17.40.04,load,0,00:00:00,,
2014.08.05-17.58.12,load,0,00:00:00,,
2014.08.06-17.51.38,load,1,00:00:01,,
2014.08.06-17.54.58,load,200,00:03:20,ebee3d_37.blend,C:\Art\Ebee3d\ebee3d_37.blend
2014.08.06-18.00.20,save,322,00:05:22,ebee3d_37.blend,C:\Art\Ebee3d\ebee3d_37.blend
2014.08.06-18.14.57,save,877,00:14:37,ebee3d_37.blend,C:\Art\Ebee3d\ebee3d_37.blend
2014.08.06-20.37.26,save,8548,02:22:28,ebee3d_37.blend,C:\Art\Ebee3d\ebee3d_37.blend
2014.08.06-20.55.15,save,1069,00:17:49,ebee3d_37.blend,C:\Art\Ebee3d\ebee3d_37.blend
2014.08.07-15.38.27,load,0,00:00:00,,
2014.08.07-16.53.12,load,4485,01:14:45,ebee3d_37.blend,C:\Art\Ebee3d\ebee3d_37.blend
2014.08.07-17.00.50,save,457,00:07:37,ebee3d_38.blend,C:\Art\Ebee3d\ebee3d_38.blend
2014.08.07-21.58.33,save,17862,04:57:42,ebee3d_38.blend,C:\Art\Ebee3d\ebee3d_38.blend
2014.08.07-22.44.02,load,0,00:00:00,,
2014.08.07-22.44.06,load,3,00:00:03,ebee3d_38.blend,C:\Art\Ebee3d\ebee3d_38.blend
2014.08.08-02.27.23,load,0,00:00:00,,
2014.08.08-15.13.03,load,45939,12:45:39,ebee3d_38.blend,C:\Art\Ebee3d\ebee3d_38.blend
2014.08.08-15.18.19,save,316,00:05:16,ebee3d_39.blend,C:\Art\Ebee3d\ebee3d_39.blend
2014.08.08-16.47.23,save,5343,01:29:03,ebee3d_39.blend,C:\Art\Ebee3d\ebee3d_39.blend
2014.08.08-16.51.39,save,255,00:04:15,ebee3d_39.blend,C:\Art\Ebee3d\ebee3d_39.blend
2014.08.08-16.58.45,save,426,00:07:06,ebee3d_39.blend,C:\Art\Ebee3d\ebee3d_39.blend
2014.08.08-17.58.18,save,3573,00:59:33,ebee3d_39.blend,C:\Art\Ebee3d\ebee3d_39.blend
2014.08.08-19.41.13,save,6174,01:42:54,ebee3d_39.blend,C:\Art\Ebee3d\ebee3d_39.blend
2014.08.08-19.46.32,load,0,00:00:00,,
2014.08.08-23.47.38,load,14466,04:01:06,,
2014.08.08-23.54.10,load,0,00:00:00,,
2014.08.08-23.57.34,load,0,00:00:00,,
2014.08.09-00.49.01,load,3087,00:51:27,ebee3d_39.blend,C:\Art\Ebee3d\ebee3d_39.blend
2014.08.09-00.54.06,save,305,00:05:05,ebee3d_40.blend,C:\Art\Ebee3d\ebee3d_40.blend
2014.08.09-01.53.00,load,0,00:00:00,,
2014.08.09-12.52.00,load,39539,10:58:59,,
2014.08.09-19.50.26,load,0,00:00:00,,
2014.08.10-02.07.36,load,22629,06:17:09,,
2014.08.11-11.32.15,load,0,00:00:00,,
2014.08.11-11.32.21,load,6,00:00:06,ebee3d_40.blend,C:\Art\Ebee3d\ebee3d_40.blend
